date,account_value,unrealized_pnl,total_value,open_positions,trades_entered_today,returns,cummax,drawdown
2025-07-15 12:00:00,147813.9393253316,-4.120802206983184,147809.81852312462,7,1,-0.0003876090331443871,152572.08060577436,-0.031213194863317004
2025-07-16 12:00:00,147812.6393253316,77.71624255312636,147890.35556788472,8,1,0.0005448693839475993,152572.08060577436,-0.030685332593625613
2025-07-17 12:00:00,147967.05863486597,54.517991569002206,148021.57662643498,4,1,0.0008872861117033004,152572.08060577436,-0.029825273151365538
2025-07-18 12:00:00,147965.75863486598,58.60157175863195,148024.3602066246,5,1,1.8805232676610828e-05,152572.08060577436,-0.029807028789890114
2025-07-21 12:00:00,147964.458634866,90.44882244712564,148054.90745731312,6,1,0.00020636637541193714,152572.08060577436,-0.029606813582971344
2025-07-22 12:00:00,147993.5584825576,72.26757426623519,148065.82605682383,6,1,7.374696116624335e-05,152572.08060577436,-0.02953525003433676
2025-07-23 12:00:00,148117.76551918668,81.49322479160995,148199.25874397828,4,1,0.0009011713959117262,152572.08060577436,-0.028660694960927102
2025-07-24 12:00:00,148151.461669999,52.26693440870211,148203.7286044077,4,1,3.016115240583872e-05,152572.08060577436,-0.028631398248110035
2025-07-25 12:00:00,148222.96702861856,26.63041537527997,148249.59744399384,3,1,0.0003094985532285932,152572.08060577436,-0.028330761071216102
2025-07-28 12:00:00,148221.66702861857,38.46469566712045,148260.1317242857,4,1,7.10577328604245e-05,152572.08060577436,-0.028261716458007576
2025-07-29 12:00:00,148220.36702861858,-5.315171865989264,148215.0518567526,5,1,-0.00030405927074794725,152572.08060577436,-0.028557182491859262
2025-07-30 12:00:00,148219.0670286186,5.91404066000165,148224.98106927858,6,1,6.699193099213296e-05,152572.08060577436,-0.028492103661665963
2025-07-31 12:00:00,148184.21429366895,-59.9423611706535,148124.2719324983,4,1,-0.0006794343035417816,152572.08060577436,-0.029152179452599902
2025-08-01 12:00:00,148182.91429366896,-311.77361840257055,147871.1406752664,5,1,-0.0017089114020911733,152572.08060577436,-0.03081127236282872
2025-08-04 12:00:00,148212.65047768824,-67.4032223196642,148145.24725536857,5,1,0.0018536854375399425,152572.08060577436,-0.029014701332179735
2025-08-05 12:00:00,148211.35047768825,-140.3416517359331,148071.0088259523,6,1,-0.0005011192109881657,152572.08060577436,-0.029501280718929296
2025-08-06 12:00:00,148210.05047768826,22.704556336662037,148232.7550340249,7,1,0.0010923556836350823,152572.08060577436,-0.02844115092696204
2025-08-07 12:00:00,148205.64454667186,27.602527856294046,148233.24707452816,4,1,3.3193777120299472e-06,152572.08060577436,-0.028437925956172543
2025-08-08 12:00:00,148240.85943144333,81.12400156774183,148321.98343301108,4,1,0.0005986265580373296,152572.08060577436,-0.027856323095868128
2025-08-11 12:00:00,148239.55943144334,53.38666808611397,148292.94609952945,5,1,-0.00019577228411826741,152572.08060577436,-0.02804664188398673
2025-08-12 12:00:00,148377.40169797637,54.31395452691561,148431.71565250328,3,1,0.0009357798642741777,152572.08060577436,-0.027137107502448157
2025-08-13 12:00:00,148446.2400666621,9.554010086020215,148455.79407674813,2,1,0.00016221886366407645,152572.08060577436,-0.026979290789526263
2025-08-14 12:00:00,148444.94006666212,7.504353366197103,148452.44442002833,3,1,-2.2563327626512475e-05,152572.08060577436,-0.027001245374575523
2025-08-15 12:00:00,148443.64006666213,-10.183441183137143,148433.45662547898,4,1,-0.00012790489657166226,152572.08060577436,-0.027125696679650216
2025-08-18 12:00:00,148442.34006666215,9.31707327673279,148451.65713993888,5,1,0.00012261733219487425,152572.08060577436,-0.027006405428016026
2025-08-19 12:00:00,148441.04006666216,-77.42880474806232,148363.6112619141,6,1,-0.000593094612219569,152572.08060577436,-0.02758348268668087
2025-08-20 12:00:00,148439.74006666217,-122.75666796321026,148316.98339869897,7,1,-0.00031428099396169085,152572.08060577436,-0.027889094716286845
2025-08-21 12:00:00,148273.1345702501,-80.47198872009398,148192.66258153002,4,1,-0.0008382102596757868,152572.08060577436,-0.028703928050638337
2025-08-22 12:00:00,148309.97270163018,80.57426718140536,148390.54696881157,4,1,0.0013353183877959918,152572.08060577436,-0.027406938545770435
2025-08-25 12:00:00,148308.6727016302,47.01785985421489,148355.6905614844,5,1,-0.00023489641381602144,152572.08060577436,-0.027635397168008367
2025-08-26 12:00:00,148377.0112683199,35.932414700224285,148412.94368302013,4,1,0.0003859179335761187,152572.08060577436,-0.027260144229800987
