date,account_value,unrealized_pnl,total_value,open_positions,trades_entered_today,returns,cummax,drawdown
2020-03-09 12:00:00,151394.29037171413,0.0,151394.29037171413,0,0,0.0,155060.5474485675,-0.023644035424739064
2020-03-10 12:00:00,151394.29037171413,0.0,151394.29037171413,0,0,0.0,155060.5474485675,-0.023644035424739064
2020-03-11 12:00:00,151394.29037171413,0.0,151394.29037171413,0,0,0.0,155060.5474485675,-0.023644035424739064
2020-03-12 12:00:00,151392.99037171414,0.0,151392.99037171414,1,1,-8.586849588598788e-06,155060.5474485675,-0.023652419246551763
2020-03-13 12:00:00,151392.99037171414,0.0,151392.99037171414,1,0,0.0,155060.5474485675,-0.023652419246551763
2020-03-16 12:00:00,151391.69037171415,-239.96454864459446,151151.72582306957,2,1,-0.001593630907561816,155060.5474485675,-0.025208356927763645
2020-03-17 12:00:00,151391.69037171415,-239.96454864459446,151151.72582306957,2,0,0.0,155060.5474485675,-0.025208356927763645
2020-03-18 12:00:00,151391.69037171415,-41.855814912732654,151349.83455680142,2,0,0.001310661407622593,155060.5474485675,-0.023930735140715864
2020-03-19 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.001185650664307536,155060.5474485675,-0.02277345796842525
2020-03-20 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-03-23 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-03-24 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-03-25 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-03-26 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-03-27 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-03-30 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-03-31 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-01 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-02 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-03 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-06 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-07 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-08 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-09 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-13 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-14 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-15 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-16 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-17 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-20 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-21 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-22 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-23 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-24 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-27 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-28 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-29 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-04-30 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-05-01 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
2020-05-04 12:00:00,151529.28258868653,0.0,151529.28258868653,0,0,0.0,155060.5474485675,-0.02277345796842525
