dte,short_delta,strike_width,profit_target,stop_loss,dte_min,initial_capital,final_value,total_pnl,total_return_pct,annualized_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,volatility_pct,total_trades,winning_trades,losing_trades,win_rate_pct,avg_win,avg_loss,largest_win,largest_loss,profit_factor,avg_days_in_trade,positive_months,total_months,positive_months_pct,best_month_pct,worst_month_pct,avg_monthly_return_pct,below_min_trades,stability_score,stability_n
24,0.3299999999999999,10,0.9,0.4,5,150000,205273.36060441757,55273.36060441754,36.84890706961169,5.407932521287751,0.5866661961897272,0.6480408775780508,-14.084803642175448,0.3839551234561958,5.869267115058373,1230,943,287,76.66666666666667,165.9064044235156,-349.32205021543456,246.08377890080448,-639.0570860882567,1.5605114042175376,16.33252032520325,47,71,66.19718309859155,3.6021181355717413,-4.116064010777465,0.4606337027558567,,0.5882913174851784,75
21,0.35,20,0.8,0.30000000000000004,5,150000,225289.98086623137,75289.98086623137,50.193320577487576,7.067467998621013,0.5841989194134696,0.5288273431963566,-18.333752150359256,0.385489448131463,8.968233400549845,1297,974,323,75.09637625289129,266.57751508981346,-565.5430923568944,382.77099108676686,-1757.6591201572246,1.4213932466936543,16.77255204317656,45,71,63.38028169014085,5.5224668540654775,-7.273050379616852,0.6177872428321034,,0.4694365104589071,21
21,0.35,10,0.9,0.4,5,150000,204739.52925213292,54739.52925213296,36.49301950142197,5.361860737964896,0.5817209619394563,0.6387843938860654,-14.333676466345397,0.3740743521422588,5.841153510471372,1209,909,300,75.18610421836229,176.73781206464693,-349.46520367762014,263.7311118030832,-710.4354315722701,1.5323859569431997,15.42266335814723,47,71,66.19718309859155,3.428354920129162,-4.1497381064648735,0.4565631261234592,,0.6002636237807795,41
27,0.35,15,0.8,0.3,5,150000,217936.74968497423,67936.74968497426,45.29116645664951,6.47264149471658,0.5811649880441034,0.644165148664678,-16.314779380502955,0.3967348465926384,7.896474231633194,1259,943,316,74.90071485305798,221.05885583290765,-440.7392803815449,327.3830117573541,-789.8671751302693,1.4967551796641017,16.344718030182683,46,71,64.7887323943662,4.657161617919137,-5.068761355915063,0.5598237735898822,,0.5834176572382087,66
24,0.35,10,0.7,0.3,5,150000,200312.54169524732,50312.54169524735,33.54169446349823,4.975892710981578,0.5809715343632433,0.6564179162262014,-10.56730538144414,0.4708762102890573,5.150880711280951,1226,923,303,75.28548123980424,157.27485112972954,-308.3671400128053,262.9203153932366,-630.668494463647,1.553639529082015,12.54241435562806,44,71,61.97183098591549,3.1392216464454448,-3.78958710400803,0.4220000686096131,,0.4942275509591244,37
21,0.35,10,0.9,0.4,7,150000,204607.45283090151,54607.452830901515,36.40496855393434,5.350446590852775,0.5797257291232892,0.6314115205983232,-11.278038732800352,0.47441285826514024,5.842837972427174,1401,997,404,71.16345467523197,170.43676227255884,-280.9324236506743,241.37888163217184,-669.1283325440626,1.4971840877404605,16.491077801570306,43,71,60.56338028169014,2.961616891747343,-3.990721614584969,0.454878864214261,,0.4916310496650259,5
33,0.3299999999999999,10,0.8,0.3,7,150000,205869.75463102877,55869.75463102874,37.246503087352494,5.459285953695225,0.5724455228690879,0.6654327536683878,-12.785554695082824,0.4269885885979436,6.127227871274211,1328,996,332,75.0,154.641599276818,-292.2217488502075,229.42526640615765,-555.2906641272249,1.5875779255166296,19.170180722891565,45,71,63.38028169014085,3.5478492017107177,-4.247104856733674,0.4654853917050189,,0.4844608449582912,15
24,0.29,10,0.9,0.3,5,150000,200519.27886501307,50519.27886501307,33.67951924334204,4.994074367179868,0.572328268335008,0.6095436591453328,-11.410848243275383,0.4376602212831079,5.269982634196375,1257,969,288,77.08830548926015,141.45074519169663,-296.49885661161375,208.3979403465292,-639.0570860882567,1.605142175583422,15.531424025457438,47,71,66.19718309859155,2.967077731841594,-3.556643881708188,0.4209343840278244,,0.4668134866176187,27
24,0.29,15,0.9,0.3,5,150000,210967.3638577533,60967.36385775334,40.64490923850223,5.893244751538562,0.5687884788158728,0.5918584772464341,-15.589728247745777,0.3780210057472108,6.989291959621038,1257,987,270,78.52028639618138,177.56475374536922,-419.4951259124626,266.3350099891969,-852.9346843066008,1.54733102229223,15.517899761336515,47,71,66.19718309859155,4.3206500361393285,-4.5204649608578285,0.501971597624802,,0.4980776946313622,24
27,0.3299999999999999,10,0.9,0.4,5,150000,207496.1563695047,57496.15636950469,38.33077091300313,5.598703358364587,0.5682835638766606,0.6391792296075857,-15.364692199696917,0.3643876027972124,6.4394385610251765,1280,981,299,76.640625,167.342008127546,-353.2934369324359,239.4735916756243,-733.624156466511,1.5540580081548052,19.11171875,47,71,66.19718309859155,3.83576005782027,-3.9323221565426336,0.4801925766738859,,0.5817272449523595,68
24,0.35,20,0.7,0.30000000000000004,5,150000,223420.66554222087,73420.66554222087,48.94711036148058,6.917802270809803,0.5659554738195887,0.525042653364676,-16.51857963500409,0.418789170961798,9.017334452258169,1319,1011,308,76.64897649734648,252.7364225536616,-585.6531092842919,375.6805627039144,-1757.6591201572246,1.4165366633470384,15.759666413949962,43,71,60.56338028169014,5.981930426227944,-8.06798242825748,0.6063003697380115,,0.46066765942478394,21
24,0.35,15,0.8,0.30000000000000004,5,150000,217601.88656813384,67601.88656813384,45.06792437875589,6.445157963702153,0.5593533951427364,0.5380582122579737,-15.253532334507467,0.42253543784881387,8.204627842241782,1401,1035,366,73.87580299785867,226.4221523256863,-450.6113144507758,322.1905491086736,-1108.3344695638639,1.4209411338216271,17.05781584582441,46,71,64.7887323943662,4.322581665167058,-6.712403928703569,0.5593718730526906,,0.4921880208384849,40
24,0.3299999999999999,10,0.8,0.3,7,150000,198124.10512031187,48124.10512031187,32.08273674687458,4.782465283706805,0.5590740617505918,0.6310117608596258,-9.9579939215291,0.4802639287986664,5.009638101612321,1232,890,342,72.24025974025975,154.82429594513658,-258.50201464515624,232.70601092602172,-630.668494463647,1.5586158278348368,13.385551948051948,44,71,61.97183098591549,2.8700124530188558,-3.315451658064994,0.4060043070204793,,0.5488034828104058,109
27,0.32999999999999996,20,0.8,0.30000000000000004,5,150000,225857.58584794737,75857.58584794737,50.57172389863158,7.11270844927443,0.5526880029382081,0.5242239440147088,-19.08395207480637,0.37270626238179744,9.675913096172247,1357,1043,314,76.86072218128224,247.3220000746996,-574.3157969108146,345.12834421636967,-1881.724857487968,1.430430126598267,20.182756079587325,44,71,61.97183098591549,6.815545258201472,-7.190316325555801,0.6277184988247068,,0.491007296407445,45
21,0.3299999999999999,10,0.9,0.4,5,150000,202053.85030857683,52053.85030857683,34.70256687238455,5.128547967893304,0.5507092891566171,0.5982234371059005,-13.891021966164182,0.3691987515666915,5.758479435406196,1214,924,290,76.11202635914333,165.1540014674924,-342.9919525380724,246.08377890080448,-639.0570860882567,1.534189984852276,15.4168039538715,48,71,67.6056338028169,3.550645354579962,-4.106510268628694,0.4371562521699008,,0.5997471675643433,51
24,0.35,15,0.9,0.3,7,150000,210678.5575332296,60678.55753322956,40.4523716888197,5.868893178348733,0.549758306555033,0.5929823530950656,-13.74936806192268,0.4268482123627172,7.21906555803873,1223,872,351,71.30008176614882,222.21607967012093,-377.1298546450126,347.9393021776071,-859.2304897080902,1.4638410988505224,14.78250204415372,44,71,61.97183098591549,4.077851151585232,-5.102497960787911,0.5058033213420767,,0.5822595316340753,77
24,0.3299999999999999,15,0.9,0.3,7,150000,209159.6597221633,59159.65972216334,39.43977314810889,5.740363642605506,0.5495724080819633,0.5930039173557702,-13.560707404562624,0.4233085687457653,6.967666208752547,1230,894,336,72.6829268292683,205.18955813592711,-367.71047706142633,325.20227077903274,-859.2304897080902,1.4847300326459332,14.801626016260162,44,71,61.97183098591549,3.930281190044904,-4.702335915601353,0.4937447055586265,,0.5752039561605082,94
